	Strength	Progress	Elapsed	Reqs	Alerts	Status
Analyser			00:01.380	13		
						
Plugin						
Path Traversal	Medium	100	00:23.410	318	0	Completed
Remote File Inclusion	Medium	100	00:10.816	180	0	Completed
Heartbleed OpenSSL Vulnerability	Medium	100	00:00.308	3	0	Completed
Source Code Disclosure - /WEB-INF Folder	Medium	100	00:01.949	15	0	Completed
Source Code Disclosure - CVE-2012-1823	Medium	100	00:01.947	24	0	Completed
Remote Code Execution - CVE-2012-1823	Medium	100	00:02.717	108	0	Completed
External Redirect	Medium	100	00:08.886	162	0	Completed
Server Side Include	Medium	100	00:05.716	72	0	Completed
Cross Site Scripting (Reflected)	Medium	100	00:05.982	90	0	Completed
Cross Site Scripting (Persistent) - Prime	Medium	100	00:02.767	18	0	Completed
Cross Site Scripting (Persistent) - Spider	Medium	100	00:02.248	54	0	Completed
Cross Site Scripting (Persistent)	Medium	100	00:00.366	0	0	Completed
SQL Injection	Medium	100	00:21.763	400	0	Completed
SQL Injection - MySQL (Time Based)	Medium	100	00:11.888	180	0	Completed
SQL Injection - Hypersonic SQL (Time Based)	Medium	100	00:12.500	180	0	Completed
SQL Injection - Oracle (Time Based)	Medium	100	00:05.512	90	0	Completed
SQL Injection - PostgreSQL (Time Based)	Medium	100	00:09.604	90	0	Completed
SQL Injection - SQLite (Time Based)	Medium	100	00:10.951	168	0	Completed
Cross Site Scripting (DOM Based)	Medium	100	11:11.904	598	0	Completed
SQL Injection - MsSQL (Time Based)	Medium	100	00:15.083	180	0	Completed
Log4Shell	Medium	100	00:00.010	0	0	Skipped, no Active Scan OAST service is selected.
Spring4Shell	Medium	100	00:04.503	109	0	Completed
Server Side Code Injection	Medium	100	00:09.768	144	0	Completed
Remote OS Command Injection	Medium	100	00:21.914	342	0	Completed
XPath Injection	Medium	100	00:04.438	54	0	Completed
XML External Entity Attack	Medium	100	00:01.017	0	0	Completed
Generic Padding Oracle	Medium	100	00:00.818	2	0	Completed
Cloud Metadata Potentially Exposed	Medium	100	00:01.389	9	0	Completed
Server Side Template Injection	Medium	100	00:19.477	252	0	Completed
Server Side Template Injection (Blind)	Medium	100	00:16.539	216	0	Completed
Remote OS Command Injection (Time Based)	Medium	100	00:23.332	288	0	Completed
Directory Browsing	Medium	100	00:03.022	54	0	Completed
Buffer Overflow	Medium	100	00:02.798	18	0	Completed
Format String Error	Medium	100	00:03.336	54	2	Completed
CRLF Injection	Medium	100	00:07.530	126	0	Completed
Parameter Tampering	Medium	100	00:05.230	102	0	Completed
ELMAH Information Leak	Medium	100	00:00.183	1	0	Completed
Trace.axd Information Leak	Medium	100	00:01.193	12	0	Completed
.htaccess Information Leak	Medium	100	00:01.077	12	0	Completed
.env Information Leak	Medium	100	00:01.449	12	0	Completed
Hidden File Finder	Medium	100	00:08.637	52	0	Completed
Spring Actuator Information Leak	Medium	100	00:00.323	2	0	Completed
XSLT Injection	Medium	100	00:08.525	136	0	Completed
GET for POST	Medium	100	00:00.752	0	0	Completed
User Agent Fuzzer	Medium	100	00:18.838	648	69	Completed
Script Active Scan Rules	Medium	100	00:00.026	0	0	Skipped, no scripts enabled.
SOAP Action Spoofing	Medium	100	00:00.384	0	0	Completed
SOAP XML Injection	Medium	100	00:00.363	0	0	Completed
						
Totals			16:42.687	5668	71	
